Time,Feature 1,Feature 2,Feature 3,Num Cases
2017-09-01,1.38,10.19,47.8,2.215980682842693
2017-09-02,90.8,14.94,22.95,2.4431050021981777
2017-09-03,1.35,1.0,4.11,1.4509574285432105
2017-09-05,2.53,13.8,142.6,1.4110872286667513
2017-09-06,119.85,2.35,69.39,1.9349646404025007
2017-09-07,62.62,23.77,20.47,1.5485038591186921
2017-09-10,3.35,16.75,73.06,1.4909751283970423
2017-09-12,14.02,14.59,7.14,1.9711620078266774
2017-09-13,7.52,62.95,1.09,1.6870076064015804
2017-09-14,1.18,4.35,9.35,0.9584925533869324
2017-09-16,21.02,16.34,1.92,0.7227371775594762
2017-09-20,15.57,13.2,77.31,-0.18934089021300915
2017-09-25,142.35,26.61,6.82,2.001175478262613
2017-09-27,23.96,80.83,4.66,2.4930389877563535
2017-09-29,42.19,2.88,5.78,2.6523374625405873
2017-09-30,27.76,4.29,1.68,2.4820721264738435
2017-10-01,1.89,70.92,79.02,3.447505527511175
2017-10-04,8.83,81.82,97.05,1.128652262105674
2017-10-07,1.35,34.65,80.72,2.2744805463122075
2017-10-08,68.32,20.82,1.61,1.2255931606572603
2017-10-10,2.97,1.27,1.38,2.3842520712437207
2017-10-11,1.26,3.22,2.61,2.1831572277194606
2017-10-14,84.98,132.1,5.9,0.6654005925380656
2017-10-15,1.01,1.17,1.12,2.151303767227037
2017-10-16,14.93,3.59,39.5,0.3821442483251421
2017-10-18,43.35,119.49,51.84,1.03438247026338
2017-10-19,12.04,22.94,1.7,0.40604922684299555
2017-10-20,131.39,63.69,73.35,1.7459061639834528
2017-10-28,136.24,26.81,106.27,2.7177443338719436
2017-10-29,7.18,3.33,8.92,3.658811956492636
2017-10-30,1.93,13.6,2.54,3.042170724081729
2017-10-31,6.39,1.46,39.35,2.1379979403075007
2017-11-01,16.41,11.42,8.64,2.5960238297343934
2017-11-03,1.24,8.08,19.98,3.240499201893275
2017-11-04,16.62,87.55,5.47,2.3998181427758967
2017-11-06,120.27,55.46,4.06,1.8463777821922616
2017-11-09,136.44,82.62,2.87,0.86066355358978
2017-11-10,118.37,2.03,13.73,-1.1098129363671545
2017-11-11,1.73,36.28,2.76,0.5702322412657002
2017-11-12,3.96,115.57,32.4,0.9500807010433626
2017-11-13,34.31,4.37,1.68,0.9635647357187695
2017-11-18,2.44,2.19,92.25,0.7258064146033668
2017-11-19,17.73,2.89,25.38,1.6841294378751737
2017-11-20,115.28,13.29,23.75,1.288916811872386
2017-11-25,9.61,71.87,75.42,1.9929203007370127
2017-11-26,4.62,5.02,14.29,3.374435134071134
2017-11-29,8.0,36.47,20.36,1.897568440866823
2017-11-30,2.0,37.11,45.02,2.0416501194851775
2017-12-01,9.83,98.63,2.23,3.282080554070912
2017-12-02,8.83,3.63,16.81,3.226773795047614
2017-12-03,1.3,1.51,5.47,2.9501220950117824
2017-12-07,2.27,68.82,3.59,0.8400862125758144
2017-12-08,7.38,104.99,5.7,2.851004673291291
2017-12-11,75.56,68.45,56.48,0.5834866358904381
2017-12-12,4.25,2.45,129.85,0.6266130457788952
2017-12-15,10.41,6.46,3.93,-0.013552669940555467
2017-12-16,5.74,13.95,42.51,0.2707772432370487
2017-12-17,51.87,28.64,82.64,1.7812586710762142
2017-12-19,31.6,2.75,1.06,0.976294660082432
2017-12-21,146.42,121.25,39.96,0.7147814896645918
2017-12-22,5.57,2.67,34.86,2.2160135112185366
2017-12-26,3.78,3.65,2.61,2.879149113237554
2017-12-27,21.18,18.41,38.5,1.4490444513540361
2017-12-29,2.23,91.32,12.83,2.6588203388257536
